"species","n"
"Australian magpie",1
"Bare-nosed wombat",4
"Common brushtail possum",44
"Common ringtail possum",688
"Deer",1
"Feathertail glider",53
"Feral cat",1
"Hollow",6
"Koala",33
"Leadbeater's Possum",4
"Mountain brushtail possum",21
"Sooty Owl",7
"Southern boobook",3
"Southern greater glider",190
"Sugar glider",131
"Sulphur-crested Cockatoo",1
"Superb lyrebird",3
"Tawny Frogmouth",1
"Yellow-bellied Glider",8
"unknown",31
NA,6
